sectionId,userId,activityId,answerId,answer,isCorrect
18563b1e-a467-44b3-aed7-3607a1acd712,af659949-e946-4afa-8800-25ac30781348,2c81d7bd-1b9c-4e7f-b71f-1110af629920,0207f59d-76b0-44ee-b158-cc87b4b0e434,"{""solution"":""convective instability means "",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,88318583-6e88-4787-b3d0-6359fdcd1a6f,2c81d7bd-1b9c-4e7f-b71f-1110af629920,06adea41-4932-4f7a-8bf3-ebae90d03bfa,"{""solution"":""idk"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,828e18ce-0cfa-457e-a8df-8490fe7e628e,2c81d7bd-1b9c-4e7f-b71f-1110af629920,06fee6ed-a7d9-40ae-af1d-baaba0610934,"{""solution"":""near the ground, there has to warm air."",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,afadc299-682d-441b-84cb-7222d77eaa0a,2c81d7bd-1b9c-4e7f-b71f-1110af629920,0a98c0c5-1b88-46b7-816e-7ca9178aa2da,"{""solution"":""Supercell Thunderstorms"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,542ab210-42f1-46ed-a8e9-8b278ba47c55,2c81d7bd-1b9c-4e7f-b71f-1110af629920,0bf2cde3-db5b-4646-88a0-f54251a9800a,"{""solution"":""Warm and cold air are coming together to create a temperature change."",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,4997de5e-1cf5-4875-9bf3-2d875d799482,2c81d7bd-1b9c-4e7f-b71f-1110af629920,0cc95448-e804-483f-bf36-b450e6d1d1c2,"{""solution"":""wind shear"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,3541ec7c-54ae-42d6-a145-fb4117550883,2c81d7bd-1b9c-4e7f-b71f-1110af629920,0e808942-84ed-4be0-86f8-4e8b054c5b70,"{""solution"":""when the air is unstable"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,8e1feb56-3f06-436f-93aa-b4969da8cf8c,2c81d7bd-1b9c-4e7f-b71f-1110af629920,132cc849-ebd7-40b0-a24f-de66b5c2a512,"{""solution"":""humid, saturated air"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,e43d248b-7fd7-4448-b20b-3a95a6f33d98,2c81d7bd-1b9c-4e7f-b71f-1110af629920,14d64587-6d97-4dd2-ac33-dac5cae75fe8,"{""solution"":""cooling at the surface "",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,c5ce0938-553b-4efb-af7f-5a8af6d64512,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1aa93131-106a-4845-87d2-645e089ac8ac,"{""solution"":""Low pressure"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,35308197-8f76-4fb8-b44a-d659369a942e,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1b373e73-7b89-4d81-a63d-1246a529bbbd,"{""solution"":""Atmospheric instability and converging winds"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,c5f64288-7ad0-4700-98ed-e21c7b503bfc,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1ce8063f-bf29-4bac-a04d-a689698a778a,"{""solution"":""uneven heating and rapidly changing temperature"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,3f3d98c5-3dde-4420-9971-eacb33d66bd6,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1d0578d3-78b4-493d-82c3-632ca970622b,"{""solution"":""The top of the air parcel is unsaturated while the bottom is saturated"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,001a7623-be9e-4635-98af-1e6c4d87b6af,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1d77ce26-8ae5-46af-a29d-60fa84b28ce5,"{""solution"":""warm air at surface cool air aloft"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,0857764b-6618-4d25-a167-f4c0df831735,2c81d7bd-1b9c-4e7f-b71f-1110af629920,1de6f2c2-13e9-4fd8-9a0c-d1b72f4aaa71,"{""solution"":""Warm air from above and cold air below "",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,a5e6e028-0f8c-4074-acd6-08f6d9dd694f,2c81d7bd-1b9c-4e7f-b71f-1110af629920,2489e897-7955-4296-bbfd-50ecd57f9ec6,"{""solution"":""rising a cold air parcel"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,aff7fa5c-94f6-4467-b8fe-3983f13f5b1d,2c81d7bd-1b9c-4e7f-b71f-1110af629920,25f29592-37f9-41c5-99c9-e17db524e543,"{""solution"":""when the surface air is much warmer than the air above it, the enviromental lapse rate  is much greater than the dry abiatic rate"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,10018a23-6c51-476f-b34c-56105f8c642b,2c81d7bd-1b9c-4e7f-b71f-1110af629920,263905ea-04ab-4714-a924-7d6c58e9f52a,"{""solution"":""warm air near the ground cold air in the upper atmosphere "",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,8c438ee6-7942-40b5-8907-fd829443e522,2c81d7bd-1b9c-4e7f-b71f-1110af629920,26538cf4-23c0-41d1-aa23-9f4a33ebb0b3,"{""solution"":""warm surface, colder temperature aloft"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,423cb5a3-9723-4810-b021-cd690a3c679a,2c81d7bd-1b9c-4e7f-b71f-1110af629920,28f6a2cc-e31b-4c71-9c02-71fecbdcfbb8,"{""solution"":""ground heated more or air colder"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,8d57cf64-a427-4163-b0ec-89f17ae9a97b,2c81d7bd-1b9c-4e7f-b71f-1110af629920,2bf7164e-72ab-446b-85db-31ea059a38bb,"{""solution"":""When the ground is warmer than the air above it"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,1bbb8fcc-6fc4-47e4-91c7-82933f8707d3,2c81d7bd-1b9c-4e7f-b71f-1110af629920,2cca5e29-e390-4f1a-bdfb-31f22a41921e,"{""solution"":""The pressure gradient, temperature gradient at levels in the atmosphere"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,5386d837-5786-43ba-bd9f-0888f7156489,2c81d7bd-1b9c-4e7f-b71f-1110af629920,2ffbe02c-01de-426d-97f8-4448a6b13a89,"{""solution"":"" Vertically integrated positive buoyancy of a rising parcel; parcel's ability to resist vertical motion.\\n"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,2089f372-08dc-4d00-822a-091866fc1038,2c81d7bd-1b9c-4e7f-b71f-1110af629920,302fc6ad-0108-43a7-bc7b-cd9dd5fbf8e9,"{""solution"":""Rapid temperature change and lower temperatures higher in the atmosphere. Also strong winds?"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,7e50cc64-8124-4c96-8b92-2bcab87f93f6,2c81d7bd-1b9c-4e7f-b71f-1110af629920,30afed32-2fea-4f61-a5bc-2dd742e27bdb,"{""solution"":""the atmosphere is convectively unstable when there are two zones in the atmosphere that vary in temperature that are very close together "",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,41762276-fc82-4140-9e2d-ee7806388a89,2c81d7bd-1b9c-4e7f-b71f-1110af629920,3229d156-f33b-4b3f-9976-ecfb39075f72,"{""solution"":""When the air below is much warmer than the air aloft."",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,7dd00892-9e26-4fff-8109-ceffdc15d286,2c81d7bd-1b9c-4e7f-b71f-1110af629920,32f4a70b-d507-4078-9dc1-36b77a35a68f,"{""solution"":""cooler and more moist air"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,d176f899-e541-4bab-9cd5-b7bc7150fa89,2c81d7bd-1b9c-4e7f-b71f-1110af629920,33779bbe-9818-49ee-8720-c2725bbd8c10,"{""solution"":""Convective instability occurs when contrasting air masses are in close proximity -- for example, when warm air rises."",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,673b914d-a44f-4f12-9577-58469befc50f,2c81d7bd-1b9c-4e7f-b71f-1110af629920,33885722-7220-4a37-b096-26b9f2abb1ad,"{""solution"":""vertical movement is erratic"",""type"":""ShortAnswer""}",0
18563b1e-a467-44b3-aed7-3607a1acd712,823bbf51-fd05-4acc-9c7d-d242767b4d0b,2c81d7bd-1b9c-4e7f-b71f-1110af629920,35c51738-385b-49a0-bf25-efdac9958afc,"{""solution"":""Air that is warmer at the bottom. "",""type"":""ShortAnswer""}",0
